Year Published,Min Players,Max Players,Play Time,Rating Average,BGG Rank,Complexity Average
2015,2,4,60,8.61,2,2.84
2019,2,7,40,1.1,20288,1
2005,2,4,5,1.32,19959,1
2013,2,4,90,1.5,20205,1
2003,2,2,1,1.5,20090,1
2006,2,8,60,1.54,20151,1.5
2003,2,4,45,2.14,20113,2.5
2004,2,4,30,2.43,20050,2.33
2006,2,4,60,2.5,19885,1
2009,2,8,60,2.63,19886,1
2007,2,6,30,2.64,19715,1
2009,2,8,60,2.71,19965,1.5
2005,2,4,30,2.8,19876,1
2001,2,5,60,2.8,19718,3
2000,2,14,30,2.83,20180,1.75
2005,2,4,60,3.12,19666,1
2020,1,4,60,3.21,19548,3
2002,2,6,45,3.23,20275,1.43
2000,2,6,45,3.24,19994,1.5
2018,5,10,45,3.29,20158,1
2006,2,4,30,3.29,20082,1.56
2001,2,12,30,3.31,20166,1.1
2016,2,4,120,3.31,19888,2.8
2005,2,6,10,3.32,19631,1
2001,2,10,40,3.32,20318,1.2
2002,3,6,30,3.34,19533,1
2018,4,8,90,3.36,19724,1
2002,2,6,45,3.38,20268,1.2
2007,2,2,30,3.41,20058,1.15
2000,4,8,20,3.42,19810,1.5
2000,2,4,20,3.45,19682,1
2011,2,6,30,3.47,19624,2
2005,2,6,30,3.48,19761,1
2009,2,5,60,3.48,19377,1.5
2014,2,2,30,3.5,19856,2
2016,3,5,30,3.51,20164,1
2004,2,12,60,3.53,20154,1.25
2006,2,4,30,3.53,19649,1.33
2012,2,10,180,3.53,19765,2.2
2013,3,10,15,3.54,20112,1
2018,2,6,30,3.55,19656,1
2017,2,4,60,3.55,20283,2.33
2012,2,4,30,3.56,19552,1.33
2003,2,6,60,3.57,20216,1.22
2009,2,4,30,3.59,19722,1
2009,2,4,10,3.61,19556,1
2002,2,8,30,3.62,19643,1
2002,2,4,15,3.65,20222,1.22
2000,3,6,30,3.65,20024,1.5
2007,2,4,45,3.65,19815,1.6
2006,2,8,60,3.66,20276,2.48
2006,2,4,15,3.67,20136,1
2016,2,8,5,3.67,20099,1
2002,3,4,100,3.67,20249,2.48
2004,2,6,60,3.68,20155,1.63
2005,2,4,15,3.69,19673,1
2002,2,6,30,3.69,19979,1.2
2016,2,2,60,3.7,19957,1.5
2006,2,4,10,3.71,19854,1
2002,2,4,30,3.71,19331,1
2005,2,6,45,3.72,19602,1
2005,2,5,20,3.72,19744,1.25
2003,3,6,30,3.73,19258,1.75
2012,2,4,10,3.74,19901,1.43
2001,2,7,10,3.76,19486,1
2013,2,2,30,3.78,20122,1
2002,3,8,60,3.78,19824,2
2007,3,6,30,3.79,19589,1
2006,2,4,30,3.79,19688,1
2009,2,2,15,3.79,19646,1.2
2001,3,6,45,3.79,19786,2.33
2002,2,4,45,3.8,19259,1.2
2006,2,6,30,3.8,20185,1.83
2014,2,6,20,3.81,19870,1
2001,3,8,30,3.82,20307,1.21
2015,2,4,20,3.83,19546,1
2006,2,4,30,3.83,19681,1.4
2007,2,5,10,3.84,19943,1
2004,2,2,10,3.84,19882,1.1
2014,2,8,15,3.84,20008,2.82
2004,2,6,20,3.85,19281,1
2012,2,4,25,3.85,19942,1
2001,2,4,60,3.86,19142,1
2014,1,10,30,3.87,19846,3.6
2004,2,4,90,3.89,20253,1.95
2015,2,4,30,3.9,20256,1.9
2004,2,4,45,3.9,19574,1
2001,2,6,30,3.9,20117,1.4
2004,2,4,45,3.9,19189,1.75
2017,3,6,20,3.91,19511,1
2005,3,5,60,3.91,19352,1.5
2011,2,4,30,3.91,19936,1.62
2005,2,6,15,3.93,19165,1
2009,2,5,30,3.93,19235,2
2001,2,4,60,3.95,19408,1.5
2012,2,5,30,3.96,19538,1
2005,1,4,30,3.96,19459,1.83
2004,2,6,30,3.97,19254,1
2007,2,2,15,3.97,19716,1
2002,2,8,120,3.97,19297,2
2000,2,8,60,3.98,20141,1.89
2005,2,4,20,3.99,19534,1
2007,3,5,45,3.99,19932,2.25
2002,2,6,20,4,19067,1
2007,2,5,60,4,20157,1.57
2001,3,7,30,4.1,19729,1.2
2011,1,4,10,4.1,19204,2
2000,2,12,90,4.1,19141,1
2014,2,4,30,4.1,19892,1
2005,2,2,60,4.11,19366,1.2
2007,2,4,30,4.11,20223,1.46
2013,2,3,20,4.12,19678,1
2014,2,99,10,4.12,19739,1
2001,2,6,60,4.12,20219,2
2003,2,6,30,4.13,19617,1
2013,2,4,30,4.13,20083,1
2013,1,4,20,4.13,20220,1.3
2000,2,2,10,4.13,19289,1.5
2016,3,6,45,4.13,19755,2.4
2010,1,2,20,4.15,19041,1
2011,2,4,5,4.16,18914,1.33
2013,3,10,60,4.16,19001,1.33
2002,2,5,180,4.16,19736,2.4
2011,2,5,45,4.17,19336,2
2000,2,10,180,4.17,18931,2
2017,2,6,20,4.18,19230,1
2005,2,6,45,4.18,19845,1.25
2013,2,6,30,4.19,19397,1
2007,2,6,15,4.19,20212,1
2014,3,99,60,4.19,19817,1.2
2000,2,4,30,4.19,20015,1.4
2002,2,6,45,4.2,19190,2
2009,2,6,120,4.2,18989,2.4
2000,2,2,60,4.21,20225,1.28
2001,2,4,20,4.21,19109,1.33
2001,2,4,120,4.21,19207,1.5
2016,3,8,45,4.22,19292,1
2007,2,4,10,4.22,19751,1.38
2017,1,6,45,4.22,18925,2
2014,2,2,20,4.22,19283,2
2012,2,6,30,4.22,19542,2.4
2016,2,6,30,4.23,19113,1
2004,2,4,30,4.23,20239,1.17
2001,2,2,20,4.23,19335,1.25
2008,2,4,45,4.23,19570,1.29
2012,4,99,90,4.23,19014,2
2015,2,5,90,4.24,19430,1
2004,2,6,30,4.24,20172,1.13
2012,2,6,30,4.25,19344,1
2000,2,4,60,4.25,19554,1
2000,2,4,10,4.25,19713,1
2001,2,4,45,4.25,19195,1
2012,2,6,30,4.26,19433,1.75
2016,2,6,45,4.27,20327,1.18
2003,1,4,20,4.27,19467,1.67
2006,2,4,60,4.28,19608,2
2013,2,3,15,4.28,19605,2
2005,2,8,20,4.29,19354,1.13
2007,2,4,10,4.29,19995,1.13
2011,2,8,60,4.29,20131,1.29
2008,2,6,30,4.29,18909,2
2005,1,4,10,4.29,19348,3
2000,4,8,60,4.3,20182,1.25
2015,2,4,30,4.31,19200,1
2002,3,6,90,4.31,19255,1.33
2015,2,8,60,4.32,19903,1
2001,2,2,10,4.32,19421,1.2
2003,2,8,60,4.32,19576,1.29
2007,2,6,60,4.32,20137,1.47
2007,2,4,30,4.32,19638,1.5
2003,2,2,30,4.32,19211,2
2008,2,4,15,4.33,18889,1
2001,3,5,30,4.33,19955,1.14
2006,2,5,25,4.33,19723,1.33
2015,2,4,45,4.33,19388,1.5
2005,2,4,30,4.34,19148,1
2016,2,2,5,4.34,19450,1
2010,2,6,1,4.34,19730,1
2007,2,4,20,4.35,19167,1
2005,2,6,30,4.35,20042,2
2008,2,4,10,4.36,19191,1
2011,1,4,10,4.37,20044,1
2002,2,7,40,4.37,19695,1.67
2009,2,16,15,4.38,20242,1
2009,4,8,20,4.38,19613,1
2009,2,6,15,4.38,19328,1.33
2005,2,6,45,4.38,19680,1.4
2004,2,6,30,4.38,19663,1.5
2007,2,2,10,4.39,18863,1
2011,2,4,5,4.39,19498,1
2004,2,6,30,4.39,20145,1
2007,2,4,20,4.39,18904,1.33
2006,2,2,60,4.39,19514,1.46
2008,2,6,30,4.39,19410,1.5
2000,2,2,20,4.4,20068,1.44
2008,2,5,90,4.4,19848,1.67
2003,2,5,30,4.4,19451,2
2007,2,4,15,4.4,19100,1
2007,2,6,60,4.4,20067,1.14
2012,3,7,15,4.4,20062,1.17
2012,2,4,45,4.4,19257,1.5
2001,2,4,20,4.41,19540,1
2012,2,4,1,4.41,19477,1.2
2008,2,4,60,4.41,20194,1.72
2001,2,6,20,4.42,20189,1
2004,2,2,30,4.42,19135,1
2011,2,4,30,4.42,18953,1.33
2005,2,5,30,4.42,19912,1.44
2004,2,4,60,4.42,19905,2.8
2003,2,6,10,4.43,18771,1.25
2003,2,6,120,4.43,18491,1.5
2014,2,5,60,4.43,19256,2
2007,3,6,15,4.44,19609,1.4
2004,2,5,90,4.44,20250,1.78
2004,2,6,120,4.44,19913,1.92
2015,3,6,20,4.45,18869,1
2010,2,5,20,4.45,19324,1
2014,3,8,30,4.45,19481,1
2008,2,6,60,4.45,19883,1
2004,2,5,30,4.45,18780,1.5
2001,2,12,30,4.45,19060,1.75
2011,2,4,30,4.45,19465,1.75
2016,2,4,75,4.45,19234,2.2
2005,2,6,20,4.46,18881,1
2007,2,2,30,4.46,18677,1.25
2006,2,5,120,4.46,19262,1.25
2009,2,5,45,4.46,19101,1.33
2007,2,2,120,4.46,19152,3.5
2003,2,4,10,4.47,19095,1
2000,2,6,45,4.47,19584,1.2
2010,2,5,45,4.47,19953,2.5
2007,2,4,20,4.48,19900,1
2002,3,6,45,4.48,19734,1.31
2020,1,6,120,4.48,18960,3
2004,2,6,60,4.49,18620,1
2004,2,4,30,4.49,18895,1.8
2016,2,4,60,4.49,19616,3
2009,2,4,20,4.5,19114,1
2009,2,4,45,4.5,18615,1
2011,2,99,10,4.5,18720,1
2016,3,4,10,4.5,19188,1
2017,2,6,45,4.5,20160,1
2017,1,6,40,4.5,18710,1.5
2011,1,99,15,4.5,18782,1.67
2002,2,4,10,4.5,18917,1.67
2007,2,5,30,4.5,18756,1.75
2012,2,8,50,4.5,18923,2
2005,2,6,15,4.51,19789,1
2000,2,5,60,4.51,20178,1.37
2003,2,4,45,4.51,19735,1.75
2004,3,7,20,4.52,18586,1
2007,2,4,30,4.52,19044,1
2003,2,6,60,4.52,18319,1.5
2011,3,6,40,4.52,19215,1.5
2001,2,6,90,4.52,19229,2
2008,2,6,45,4.52,18029,2.33
2012,3,4,60,4.53,19674,1
2005,2,5,15,4.53,18540,1
2001,2,4,45,4.53,19268,1
2008,2,4,30,4.53,19950,1.22
2015,2,7,45,4.53,19232,1.33
2013,2,6,45,4.53,19276,1.43
2006,2,4,30,4.53,19952,1.55
2013,2,4,50,4.53,19850,1.6
2007,2,6,45,4.53,19933,1.64
2013,2,6,20,4.53,18769,1.67
2002,2,8,90,4.53,18772,2
2013,2,6,15,4.54,19671,1.1
2006,2,11,90,4.54,18999,1.13
2006,1,4,20,4.54,19710,1.25
2005,3,5,25,4.54,20132,1.27
2003,2,7,60,4.54,19847,1.4
2006,2,4,30,4.54,18617,1.42
2012,1,5,120,4.54,20191,3.6
2002,2,4,30,4.55,18967,1.5
2006,2,6,60,4.55,20234,1.51
2002,2,6,45,4.55,19954,1.6
2007,2,2,30,4.55,19818,1.9
2009,2,4,10,4.56,19832,1
2013,2,5,45,4.56,19277,1
2015,2,6,60,4.56,20108,1.39
2002,2,12,90,4.56,19690,2
2004,2,3,15,4.56,19633,2.14
2003,2,6,60,4.56,19988,2.29
2014,3,20,120,4.57,18608,1
2004,3,6,30,4.57,20130,1.16
2011,2,4,25,4.57,20227,1.24
2017,2,5,45,4.57,18663,2
2010,2,5,20,4.58,20055,1
2011,2,6,60,4.58,19653,1.33
2003,2,5,60,4.58,19908,1.36
2003,4,8,1,4.58,18659,1.5
2005,2,4,45,4.58,20010,1.8
2009,2,3,10,4.58,20064,1.9
2006,2,6,60,4.58,19154,2.14
2005,2,4,15,4.59,18521,1
2010,2,5,15,4.59,19416,1
2000,3,5,20,4.59,19775,1.4
2011,2,4,20,4.6,19669,1
2008,2,4,75,4.6,19422,1
2015,2,8,25,4.6,18685,1
2003,3,6,20,4.6,18872,1
2014,2,4,20,4.6,19488,1.29
2004,3,6,90,4.6,19236,2
2013,2,4,45,4.6,19509,2.2
2010,2,6,60,4.6,19284,2.75
2007,2,8,20,4.61,18535,1
2006,2,100,30,4.61,19311,1
2008,2,2,2,4.61,19506,1
2000,3,5,20,4.61,20105,1.17
2000,2,8,60,4.61,18764,1.33
2015,3,10,30,4.62,18513,1
2008,2,6,10,4.62,18867,1
2011,2,2,45,4.62,18557,1
2005,1,4,45,4.62,19865,1.26
2004,1,4,15,4.62,19468,1.33
2000,2,5,60,4.62,20285,1.44
2007,2,6,20,4.62,20251,1.7
2006,3,8,30,4.63,18364,1
2014,2,5,15,4.63,20019,1.1
2001,2,4,30,4.63,19774,1.2
2012,2,7,30,4.63,20209,1.43
2019,2,5,40,4.63,19787,1.67
2006,2,4,20,4.64,19350,1.1
2011,2,4,5,4.64,19635,1.14
2007,3,5,45,4.64,19248,1.43
2008,3,13,222,4.64,19526,1.5
2004,2,4,20,4.64,20016,1.6
2013,2,5,30,4.64,18841,2
2000,2,2,10,4.65,18920,1
2003,2,4,10,4.65,19280,1.29
2002,1,4,20,4.65,18461,1.5
2008,3,5,45,4.65,18777,2
2001,3,5,60,4.65,18822,2
2016,2,15,60,4.65,18312,2.33
2008,2,6,15,4.66,19018,1
2003,2,4,15,4.66,19482,1
2009,2,4,10,4.66,20052,1
2005,5,16,30,4.66,18600,1.5
2000,2,6,30,4.66,19466,1.56
2004,2,4,40,4.66,19868,1.59
2001,2,5,20,4.66,18577,1.67
2005,1,8,120,4.66,19568,1.75
2011,2,5,10,4.66,20196,1.9
2003,2,12,60,4.67,18403,1.33
2005,2,6,90,4.67,19864,1.43
2004,2,6,30,4.67,19879,1.58
2007,3,5,40,4.67,18765,1.67
2009,2,4,30,4.68,19808,1
2011,2,6,20,4.68,18713,1
2002,2,6,10,4.68,20270,1.11
2004,2,6,20,4.68,20299,1.21
2017,2,6,30,4.68,19192,1.5
2006,2,4,60,4.68,19487,1.57
2002,2,4,30,4.68,18519,1.67
2005,2,8,240,4.68,19176,2.17
2001,2,6,60,4.68,19226,2.67
2004,2,4,20,4.69,19199,1
2017,2,4,50,4.69,18614,1
2011,2,4,25,4.69,19614,1.29
2005,2,6,60,4.69,19365,1.5
2018,2,4,60,4.69,19218,1.75
2005,2,6,45,4.69,19648,1.8
2001,2,10,30,4.69,18605,2
2011,2,4,20,4.69,18848,2
2005,2,10,60,4.7,19403,1
2000,2,6,45,4.7,18726,1
2004,2,6,60,4.7,18434,1.17
2012,2,12,30,4.7,19453,1.5
2008,2,4,30,4.7,18575,2
2004,3,5,90,4.7,18446,2.67
2013,3,6,30,4.71,19016,1
2014,2,4,15,4.71,18590,1
2005,2,8,45,4.71,19615,1.15
2011,3,6,30,4.71,19423,1.2
2002,2,6,30,4.71,18518,1.33
2000,2,5,20,4.71,20156,1.5
2006,2,4,30,4.71,18740,2
2003,3,6,90,4.71,20142,2
2003,2,8,180,4.71,19045,2.75
2018,2,4,10,4.72,18876,1
2008,2,4,15,4.72,19104,1
2005,2,4,30,4.72,19402,1.1
2005,2,4,30,4.72,18732,1.14
2012,2,4,20,4.72,19046,1.25
2008,2,4,20,4.72,19062,1.36
2011,2,5,15,4.72,18483,1.5
2005,2,4,30,4.72,18972,1.5
2001,2,4,20,4.72,19891,2
2012,2,4,120,4.72,19762,2.92
2005,2,4,45,4.72,18542,3
2017,3,30,60,4.73,18899,1
2008,4,12,45,4.73,19628,1
2012,2,6,30,4.73,20197,1.19
2002,2,5,45,4.73,20152,1.44
2006,2,4,30,4.73,19124,1.5
2004,2,6,30,4.73,19985,1.8
2007,2,2,20,4.74,19588,1.23
2006,2,8,30,4.74,19372,1.45
2006,1,6,15,4.74,18680,1.71
2004,2,4,30,4.74,19412,1.82
2014,2,5,60,4.74,19411,2
2005,2,6,40,4.74,18619,2.67
2001,2,4,30,4.75,19310,1
2005,2,4,15,4.75,19858,1
2006,2,4,45,4.75,19409,1.17
2007,2,6,10,4.75,19006,1.55
2003,2,4,10,4.76,18456,1
2009,2,5,20,4.76,19355,1
2011,4,6,60,4.76,19915,1.13
2001,2,2,10,4.76,20118,1.41
2006,3,6,30,4.76,19664,1.46
2001,3,5,30,4.76,18545,2
2000,2,10,20,4.77,19630,1
2004,3,4,20,4.77,18583,1
2009,3,6,20,4.77,20254,1.15
2015,2,6,180,4.77,18968,1.2
2007,2,6,20,4.77,19871,1.23
2006,2,8,30,4.77,20017,1.24
2004,3,5,20,4.77,19042,1.29
2003,2,21,60,4.77,18735,1.5
2015,4,9,45,4.77,19353,2
2016,4,5,30,4.78,20204,1
2005,2,4,20,4.78,18358,1
2005,2,5,10,4.78,19665,1
2014,2,8,40,4.78,20053,1.46
2003,2,6,120,4.78,18733,1.5
2013,1,4,90,4.78,19784,3.38
2015,2,6,30,4.79,18253,1
2009,2,10,15,4.79,18298,1
2000,2,5,45,4.79,18357,1
2010,2,5,10,4.79,18654,1
2012,3,6,30,4.79,19122,1
2009,2,4,10,4.79,19137,1
2006,2,4,15,4.79,19599,1.16
2008,3,4,30,4.79,18412,1.5
2003,2,4,45,4.79,20003,1.67
2013,2,4,60,4.79,19733,1.68
2014,2,6,30,4.79,19112,2
2011,2,5,120,4.79,18645,4.17
2009,2,24,20,4.8,19449,1
2011,2,5,20,4.8,19359,1.17
2002,3,6,45,4.8,18980,1.25
2013,2,6,45,4.8,18944,2
2010,2,4,30,4.8,19389,1
2009,2,4,20,4.8,19986,1.13
2004,2,5,15,4.8,19150,1.2
2009,2,4,30,4.8,18661,1.5
2015,2,2,20,4.8,20252,1.67
2003,2,4,30,4.8,18632,2
2000,2,2,45,4.8,18313,2
2016,3,99,90,4.81,20011,1
2010,2,4,20,4.81,18683,1.2
2001,2,5,20,4.81,20124,1.23
2007,2,8,20,4.81,18438,1.57
2001,4,8,60,4.81,18715,1.67
2004,2,6,20,4.81,19569,1.8
2012,2,6,30,4.82,19187,1.4
2013,2,4,60,4.82,19969,1.67
2014,2,2,45,4.82,18937,2.2
2013,3,6,90,4.82,18941,3.2
2005,2,6,20,4.82,19693,3.32
2003,2,6,30,4.83,18397,1
2002,2,6,10,4.83,18581,1
2001,2,4,30,4.83,19926,1
2019,2,4,50,4.83,18788,1.25
2010,2,4,30,4.83,19485,1.29
2009,1,4,30,4.83,19562,1.43
2011,2,4,20,4.84,18758,1
2001,2,5,45,4.84,19686,1
2010,1,4,15,4.84,18665,1
2005,3,6,10,4.84,19343,1.15
2005,2,12,60,4.84,19290,1.17
2006,2,5,15,4.84,20201,1.3
2007,2,5,20,4.84,19443,1.31
2001,2,6,30,4.84,20273,1.32
2012,2,99,30,4.84,19392,1.33
2016,2,6,30,4.84,19473,2
2007,2,4,15,4.84,18625,2.25
2005,2,4,15,4.85,18134,1
2014,2,8,15,4.85,18137,1
2015,2,5,10,4.85,18157,1
2004,2,10,30,4.85,18293,1
2012,1,4,10,4.85,19748,1
2006,2,4,10,4.85,18425,1
2008,2,5,15,4.85,19436,1.23
2009,3,5,30,4.85,19651,1.29
2002,2,4,40,4.85,18335,1.6
2001,3,4,60,4.85,19685,1.6
2016,1,5,20,4.85,19068,2
2016,2,6,10,4.86,19132,1
2017,2,4,30,4.86,19889,1.13
2013,2,2,15,4.86,19110,1.33
2000,2,6,60,4.86,19242,1.33
2001,3,8,120,4.86,19444,1.83
2015,2,4,30,4.86,19508,2.57
2001,2,6,360,4.86,17869,3
2017,2,2,45,4.86,18578,3
2011,2,4,10,4.87,18666,1
2007,3,6,15,4.87,19367,1
2010,3,6,40,4.87,18939,1
2005,2,8,30,4.87,19521,1.22
2006,2,6,60,4.87,18706,1.5
2008,2,4,20,4.87,18566,1.67
2001,2,4,20,4.87,19857,1.7
2003,2,2,10,4.87,19373,1.8
2011,2,4,5,4.88,20260,1
2011,2,2,15,4.88,19898,1
2009,2,3,10,4.88,18463,1
2017,2,12,40,4.88,19417,1
2005,2,4,60,4.88,18744,1.2
2005,2,5,15,4.88,18105,1.25
2004,2,4,60,4.88,20095,1.29
2004,2,5,60,4.88,20080,1.4
2004,2,4,30,4.88,18344,1.57
2015,2,6,20,4.88,19030,1.67
2000,3,6,90,4.88,18514,1.75
2007,2,2,120,4.88,18295,2
2011,2,5,15,4.89,19642,1
2001,2,6,60,4.89,18558,1.33
2002,2,4,90,4.89,19575,1.33
2001,3,5,30,4.89,19860,1.33
2009,2,8,30,4.89,19092,2
2013,2,4,180,4.9,19381,1
2008,2,2,15,4.9,19319,1
2007,2,6,60,4.9,19441,1.25
2008,4,10,40,4.9,18070,1
2009,2,15,222,4.9,19753,1
2014,2,10,30,4.9,18903,1
2012,2,4,3,4.9,19941,1.17
2008,2,9,10,4.9,19051,1.2
2007,2,4,40,4.9,19327,1.33
2006,3,5,45,4.9,18807,1.78
2010,2,6,60,4.9,17786,3
2000,2,6,30,4.91,17932,1
2013,2,5,15,4.91,18243,1
2017,2,5,20,4.91,19081,1
2015,2,99,15,4.91,20000,1
2015,2,2,5,4.91,19966,1
2016,2,4,45,4.91,19622,1
2005,2,6,45,4.91,19282,1.33
2005,2,6,90,4.91,19304,1.64
2005,2,8,180,4.91,20190,1.72
2003,3,5,30,4.91,19809,1.76
2012,2,6,30,4.91,19899,1.93
2010,2,4,45,4.91,18884,2.14
2006,2,4,120,4.91,18367,2.38
2016,1,5,60,4.92,18757,1
2016,3,10,30,4.92,19852,1
2000,2,5,20,4.92,18898,1
2011,2,2,15,4.92,18423,1
2000,2,4,15,4.92,19221,1.29
2015,2,4,60,4.92,19050,1.33
2009,2,4,30,4.92,19064,1.33
2010,2,5,90,4.92,19303,2.33
2015,2,8,40,4.93,18532,1
2007,2,4,15,4.93,18373,1
2016,2,4,30,4.93,18775,1
2010,2,6,30,4.93,19700,1.29
2007,2,8,40,4.93,19717,1.38
2003,4,16,45,4.93,18316,1.5
2010,2,6,30,4.93,18624,1.67
2016,2,3,45,4.93,19881,2.25
2016,2,5,90,4.93,19956,2.6
2008,3,5,90,4.93,18969,2.88
2011,2,2,45,4.94,18392,1
2007,2,5,60,4.94,19186,1
2004,2,6,45,4.94,19084,1
2005,2,6,20,4.94,18429,1.11
2014,2,5,15,4.94,20092,1.13
2005,2,4,30,4.94,19075,1.14
2018,2,6,180,4.94,19982,1.33
2001,1,1,20,4.94,18211,1.38
2000,2,8,60,4.94,19878,1.5
2013,1,99,20,4.94,19894,1.5
2017,3,5,40,4.94,18247,1.67
2006,2,4,30,4.94,20129,1.83
2007,2,6,160,4.94,20241,1.92
2017,2,6,45,4.94,19194,2
2016,2,5,30,4.94,18168,2
2016,2,6,15,4.95,19138,1
2006,1,4,20,4.95,18950,1
2008,2,4,15,4.95,18599,1
2006,2,8,60,4.95,18490,1.33
2005,3,8,60,4.95,18938,1.33
2015,4,6,45,4.95,19146,1.67
2001,3,6,30,4.95,19406,1.7
2006,2,6,60,4.95,20036,1.75
2002,2,10,20,4.95,19059,1.8
2008,2,2,15,4.95,18679,2.15
2017,4,10,30,4.95,19503,2.33
2004,2,4,30,4.96,18090,1
2011,2,6,45,4.96,19227,1
2000,2,4,15,4.96,19063,1
2011,2,5,10,4.96,20232,1.11
2007,1,1,20,4.96,18843,1.13
2003,2,5,20,4.96,20032,1.13
2001,2,4,20,4.96,20165,1.15
2008,2,4,30,4.96,19513,1.27
2003,2,8,45,4.96,18494,1.6
2013,2,6,90,4.96,18995,1.67
2005,2,4,35,4.96,19048,1.8
2009,3,6,30,4.96,18529,2
2003,3,6,30,4.96,18611,2
2005,2,6,10,4.97,18176,1
2015,2,9,5,4.97,19861,1
2007,2,4,45,4.97,17839,1
2006,3,5,60,4.97,18004,1
2003,2,6,10,4.97,18866,1.22
2013,3,8,30,4.97,20073,1.38
2001,2,4,60,4.97,19940,1.62
2003,3,5,90,4.97,20039,2.38
2012,2,4,60,4.97,19742,2.9
2013,2,4,10,4.98,18416,1
2013,4,8,20,4.98,19342,1
2015,2,4,15,4.98,18299,1
2009,2,6,20,4.98,18693,1
2010,2,4,15,4.98,19607,1
2009,2,6,20,4.98,19210,1.25
2003,2,8,20,4.98,19812,1.37
2006,2,2,15,4.98,18770,1.47
2005,2,6,120,4.98,17559,1.5
2005,1,10,20,4.98,19782,1.6
2008,2,10,60,4.98,20025,2.13
2003,1,1,240,4.98,18868,2.79
2010,2,6,45,4.99,18220,1
2014,2,5,20,4.99,18011,1
2013,2,4,60,4.99,19981,1
2004,2,6,45,4.99,19752,1.2
2004,2,4,10,4.99,19829,1.22
2004,2,6,60,4.99,20103,1.28
2009,2,4,20,4.99,18651,1.33
2009,2,15,222,4.99,18411,1.5
2005,2,4,15,4.99,19301,1.69
2000,2,6,60,4.99,17960,2
2014,2,2,60,4.99,18652,2
2009,2,7,120,4.99,19743,3.11
2007,2,8,20,5,18933,1
2012,3,6,90,5,19308,1
2014,2,5,10,5,18451,1
2003,2,5,20,5,19295,1.13
2000,2,6,10,5,19949,1.2
2018,2,5,30,5,18534,1.25
2003,3,5,45,5,19040,1.25
2008,2,2,15,5,20060,1.4
2013,2,6,30,5,18240,1.5
2002,2,2,20,5,18628,1.5
2003,2,4,60,5,20119,1.64
2005,2,8,30,5,18911,1.73
2006,3,10,30,5,18847,1.86
2001,2,4,360,5,19800,3.69
2014,2,2,15,5.1,17827,1
2006,2,4,30,5.1,18229,1
2013,3,8,30,5.1,18936,1
2014,1,2,10,5.1,19458,1
2013,3,5,15,5.1,19990,1.13
2005,2,4,45,5.1,18951,1.25
2007,2,4,30,5.1,18375,1.33
2000,2,10,20,5.1,18496,1.33
2003,2,4,30,5.1,19076,1.33
2004,2,4,30,5.1,19875,1.33
2004,2,4,30,5.1,20183,1.42
2005,2,6,90,5.1,20045,1.63
2016,1,6,30,5.1,19659,2
2006,2,6,120,5.1,19347,2.33
2002,3,6,10,5.1,17877,1
2005,2,6,75,5.1,18069,1
2007,2,4,20,5.1,18891,1
2007,3,6,30,5.1,19106,1
2006,3,5,30,5.1,18109,1.2
2008,2,4,30,5.1,18191,1.4
2002,3,6,60,5.1,19162,1.42
2019,2,4,120,5.1,19198,1.5
2005,2,4,45,5.1,19964,1.6
2004,2,4,30,5.1,18842,1.91
2006,2,6,30,5.1,17958,2
2000,2,6,60,5.11,17647,1
2010,2,6,20,5.11,17675,1
2009,2,2,20,5.11,19529,1.37
2002,2,8,45,5.11,18056,1.4
2006,3,5,30,5.11,18571,1.44
2002,2,6,45,5.11,18997,1.56
2005,3,5,20,5.11,19478,1.7
2012,2,6,30,5.11,19863,1.7
2002,2,6,120,5.11,19243,2
2013,1,6,30,5.11,19279,2.63
2016,2,6,20,5.12,17773,1
2003,2,4,15,5.12,18322,1
2007,3,6,30,5.12,18065,1
2014,2,4,15,5.12,18565,1
2009,3,8,90,5.12,18019,1
2009,2,4,15,5.12,19261,1.11
2010,2,4,15,5.12,19737,1.11
2008,2,4,15,5.12,20240,1.19
2004,2,6,20,5.12,19545,1.32
2015,1,2,30,5.12,18767,1.36
2007,1,3,5,5.12,19502,1.38
2004,3,5,90,5.12,18204,1.73
2001,3,6,45,5.12,18406,1.83
2012,2,4,60,5.12,19684,1.92
2013,1,8,20,5.12,19834,2
2015,3,5,1,5.13,18751,1
2004,2,5,30,5.13,18846,1
2012,2,69,10,5.13,19325,1
2013,2,5,15,5.13,17935,1
2002,2,4,30,5.13,19349,1
2008,2,6,40,5.13,20186,1.19
2013,2,6,20,5.13,19772,1.33
2005,2,12,45,5.13,18791,1.4
2004,2,4,90,5.13,20179,1.41
2006,2,4,30,5.13,18460,1.43
2007,2,4,20,5.13,19021,1.44
2000,3,6,60,5.13,17921,1.5
2008,2,6,60,5.13,18773,1.5
2004,2,6,30,5.13,19794,1.54
2002,2,4,30,5.13,19340,1.6
2003,1,2,5,5.13,18353,1.67
2004,2,4,45,5.13,18225,1.8
2002,2,2,60,5.13,18874,1.86
2001,2,8,90,5.13,20078,1.96
2006,2,4,60,5.13,18676,2
2002,2,6,90,5.13,18717,2
2000,2,6,120,5.13,18060,2.33
2002,2,4,20,5.13,18063,2.5
2006,2,6,120,5.13,19842,2.6
2002,1,2,60,5.13,17642,3
2019,2,4,120,5.13,18291,3
2013,2,99,120,5.14,17613,1
2006,2,4,40,5.14,18108,1
2013,2,99,30,5.14,18985,1
